phrase,stage,freq,success,success_rate
Do you wear glasses or anything?,Needs Analysis,1,1,1.0
Do you need any dental work coming up at all or glasses or anything?,Needs Analysis,1,1,1.0
What are you looking for in terms of coverage?,Needs Analysis,1,1,1.0
Is there anything with your current Humana plan that you really like?,Needs Analysis,1,1,1.0
Are you a resident in a nursing home or long term care facility?,Needs Analysis,1,1,1.0
You mentioned you do have a prescription that you do pay for that's a little bit high.,Needs Analysis,1,1,1.0
Is there anything that would really help you?,Needs Analysis,1,1,1.0
How frequently do you see a doctor use your medical benefits?,Needs Analysis,1,1,1.0
"What about, like, benefit wise?",Needs Analysis,1,1,1.0
How often do you receive medical care in a year?,Needs Analysis,1,1,1.0
"Is that the most important one, you know, the cashback option, Ophelia that you would like to have?",Needs Analysis,1,1,1.0
"Do you need anything done like, you know, do you need any dental work done?",Needs Analysis,1,1,1.0
Do you currently or just Medicare?,Needs Analysis,1,1,1.0
"Do you need rides to the doctor as well, or do you make your own way there?",Needs Analysis,1,1,1.0
Is that a plan that you're getting through a previous job?,Needs Analysis,1,1,1.0
What kind of vision do they have?,Needs Analysis,1,1,1.0
Do you happen to have any benefits that are provided to you by a past employer?,Needs Analysis,1,1,1.0
What is the dental benefit?,Needs Analysis,1,1,1.0
Do you have an inhaler or anything you take?,Needs Analysis,1,1,1.0
Is it giving you all the benefits that you are needing?,Needs Analysis,1,1,1.0
Do you need a little bit of traveling or at all?,Needs Analysis,1,1,1.0
What would you say is most important to you for this year?,Needs Analysis,1,1,1.0
When are you going in? You're going in this month. Right?,Needs Analysis,1,1,1.0
"Is it, you know, ways to save money?",Needs Analysis,1,1,1.0
"In order to find a enrollment period, we do have special plans for people that have things like diabetes.",Needs Analysis,1,1,1.0
Are you still want me to go forward with this even though there's that $300 deductible?,Needs Analysis,1,1,1.0
Would you fall under those parameters?,Needs Analysis,1,1,1.0
"Are you currently using your grocery card as well, Terry?",Needs Analysis,1,1,1.0
Have you had your hearing checked?,Needs Analysis,1,1,1.0
Do you have your dental done at the VA too?,Needs Analysis,1,1,1.0
Do you have any coverage to a past employer or union?,Needs Analysis,1,1,1.0
"Are there any other doctors like, specialists or dentists that we need to look up to make sure that they would be in network?",Needs Analysis,1,1,1.0
Is there any other reason other than the over the counter that you would want to switch?,Needs Analysis,1,1,1.0
"Let me see how much of I can get for you in, like, dental, vision, groceries, that type of thing.",Needs Analysis,1,1,1.0
What about your medications? You got a couple of medications that you take?,Needs Analysis,1,1,1.0
Have you had the opportunity to see the dentist this year?,Needs Analysis,1,1,1.0
"Do you have someone who helps you make your health care decisions, or do you do that yourself?",Needs Analysis,1,1,1.0
What about your vision? Have you had the opportunity to get your eyes checked out?,Needs Analysis,1,1,1.0
"Have you recently moved, or do you plan on moving anytime soon?",Needs Analysis,1,1,1.0
"And the dental, vision, and hearing, it looks like you're getting all that too.",Needs Analysis,1,1,1.0
How often would you say that you do go to the doctor?,Needs Analysis,1,1,1.0
"What all would it cover, like, my drug I mean, like, my, medication?",Needs Analysis,1,1,1.0
"Is there anything that you need, Thelma?",Needs Analysis,1,1,1.0
Do you use the VA for primarily for your health care as well?,Needs Analysis,1,1,1.0
Are they giving you that full amount on the current plan that you're on?,Needs Analysis,1,1,1.0
Does the VA cover your dental?,Needs Analysis,1,1,1.0
Do you happen to know the name of your primary care doctor off the top of your head?,Needs Analysis,1,1,1.0
What ZIP code is she in?,Needs Analysis,1,1,1.0
"Have you always had full Medicaid, or did you recently just get approved for full Medicaid?",Needs Analysis,1,1,1.0
"Is there any benefit that really stands out, like, you know, dental, vision, anything like that?",Needs Analysis,1,1,1.0
What is currently going on with your current coverage?,Needs Analysis,1,1,1.0
"Are there any doctor other doctors you're seeing, like a dentist or other specialists?",Needs Analysis,1,1,1.0
Did you switch to this UnitedHealthcare plan for increases?,Needs Analysis,1,1,1.0
Do you know what I mean by Medicaid level?,Needs Analysis,1,1,1.0
Did you know you have a YouCard with them?,Needs Analysis,1,1,1.0
"Is there any way that I mean, it's to me, it's Seema Do you have any kids?",Needs Analysis,1,1,1.0
"Do you have any benefits through, like, TRICARE or the VA or anything?",Needs Analysis,1,1,1.0
Do you also have any other insurance?,Needs Analysis,1,1,1.0
"Are there any benefits that you're not getting, that you'd like to start getting?",Needs Analysis,1,1,1.0
Are you taking prescription medications?,Needs Analysis,1,1,1.0
Do you go to the doctor very much?,Needs Analysis,1,1,1.0
Are you wanting to keep the same primary care doctor?,Needs Analysis,1,1,1.0
Is there anything on your plan that you're not happy with?,Needs Analysis,1,1,1.0
What I think we have here is a legitimate enrollment error.,Needs Analysis,1,1,1.0
What's your phone number?,Needs Analysis,1,1,1.0
Did you like them overall?,Needs Analysis,1,1,1.0
What about are there any treatment centers or other preferred facilities that you're currently going to?,Needs Analysis,1,1,1.0
"Do you need help as far as, like, the dental, vision, and hearing too?",Needs Analysis,1,1,1.0
Do you get Medicaid as well as Medicare or just Medicare?,Needs Analysis,1,1,1.0
Do you know if you have a level of Medicaid?,Needs Analysis,1,1,1.0
When did you get that plan?,Needs Analysis,1,1,1.0
How do you utilize those benefits?,Needs Analysis,1,1,1.0
Were you wanting to keep the same dermatologist?,Needs Analysis,1,1,1.0
Are you gonna need any dental work down the line or a pair of glasses?,Needs Analysis,1,1,1.0
Do you know how much you're getting on the food card?,Needs Analysis,1,1,1.0
Do you want me to check them all?,Needs Analysis,1,1,1.0
"When you're going to see, like, a specialist doctor, are you paying any co pays at all?",Needs Analysis,1,1,1.0
Are you needing those benefits?,Needs Analysis,1,1,1.0
Do you have any Medicaid at all by chance?,Needs Analysis,1,1,1.0
"If you have diabetes, if you have anything wrong with your heart?",Needs Analysis,1,1,1.0
Is that something you've been arrested in getting again?,Needs Analysis,1,1,1.0
Will you be getting any major dental work done this year?,Needs Analysis,1,1,1.0
"Did you have any military coverage, like, through TRICARE For Life, CHAMPVA, or VA benefits?",Needs Analysis,1,1,1.0
What additional needs do you need other than the food benefits?,Needs Analysis,1,1,1.0
Do you have someone who helps make your healthcare decisions?,Needs Analysis,1,1,1.0
Are there any medical equipment or special supplies that you need?,Needs Analysis,1,1,1.0
Are you still taking the medicine for the heart?,Needs Analysis,1,1,1.0
How much are you receiving on your card on your UCard each month?,Needs Analysis,1,1,1.0
What is your This is with Aetna.,Needs Analysis,1,1,1.0
How's this plan been going?,Needs Analysis,1,1,1.0
Do you need dental works?,Needs Analysis,1,1,1.0
Do you think that this new Aetna Medicare dual preferred plan may be a better suit for your health needs than your current UnitedHealthcare dual complete plan?,Needs Analysis,1,1,1.0
What about your hearing?,Needs Analysis,1,1,1.0
Are you ready to enroll today?,Needs Analysis,1,1,1.0
"Are you seeing very many specialists, or do you just see a primary care doctor?",Needs Analysis,1,1,1.0
Would you like to rereview them before we continue?,Needs Analysis,1,1,1.0
"Do you have any benefits too, like TRICARE, the VA, or anything?",Needs Analysis,1,1,1.0
Do you get a food card with that plan?,Needs Analysis,1,1,1.0
"Do you know the difference between what you have, a supplemental plan and a Medicare Advantage Plan?",Needs Analysis,1,1,1.0
How long have you been seeing your kidney doctor for?,Needs Analysis,1,1,1.0
Do you need any extra dental?,Needs Analysis,1,1,1.0
What will you be looking if I could be able to help you out?,Needs Analysis,1,1,1.0
"Do you currently have any type of chronic condition, like diabetes or a heart problem?",Needs Analysis,1,1,1.0
"How about on the dental, patient, and hearing?",Needs Analysis,1,1,1.0
Is there tell me a little bit about that current plan that you're on?,Needs Analysis,1,1,1.0
Have you noticed any changes in your Medicaid?,Needs Analysis,1,1,1.0
So transportation is a big one.,Needs Analysis,1,1,1.0
Do you have an additional dental and vision coverage?,Needs Analysis,1,1,1.0
Are you planning to get any dental work done this year?,Needs Analysis,1,1,1.0
Do you have any type of medical coverage from a former employer?,Needs Analysis,1,1,1.0
You may need to send a request to UnitedHealthcare to leave or change this plan.,Needs Analysis,1,1,1.0
Are you currently resident in a nursing home or long term care facility?,Needs Analysis,1,1,1.0
"Do you go see, like, a lot of specialists or a lot of do you go to the hospital often?",Needs Analysis,1,1,1.0
Have you lost or are losing employer or union coverage?,Needs Analysis,1,1,1.0
Do you know how much money are you getting on that card?,Needs Analysis,1,1,1.0
Do you already get a food card at the moment or not right now?,Needs Analysis,1,1,1.0
What made you leave UnitedHealthcare?,Needs Analysis,1,1,1.0
"Do you need, like, just teeth pulled, or you need, like, a bridge or crown or like dentures as well?",Needs Analysis,1,1,1.0
"Are you seeing a lot of doctors right now too, Marilyn?",Needs Analysis,1,1,1.0
Are you married or single?,Needs Analysis,1,1,1.0
What was the reason why you did the switch?,Needs Analysis,1,1,1.0
Did you have a better time to call you back?,Needs Analysis,1,1,1.0
Do you need a bunch of extractions and dentures?,Needs Analysis,1,1,1.0
What can I do to help you today?,Needs Analysis,1,1,1.0
"Are you on a Medicare supplement, like a plan g or a plan f?",Needs Analysis,1,1,1.0
"On your prescriptions, do you get all of those for free at the VA?",Needs Analysis,1,1,1.0
Do you have time?,Needs Analysis,1,1,1.0
Do you know the names of those medications?,Needs Analysis,1,1,1.0
Do you think that maybe you'll get some dental work done?,Needs Analysis,1,1,1.0
Do you need more dental work done?,Needs Analysis,1,1,1.0
Do you have your own transportation?,Needs Analysis,1,1,1.0
What is the most that you have to pay so far for like doctor visits?,Needs Analysis,1,1,1.0
How much are your co payments?,Needs Analysis,1,1,1.0
Are you okay with all of that?,Needs Analysis,1,1,1.0
"Is there anything that you need, Marie?",Needs Analysis,1,1,1.0
You both don't have medications. Nothing. Right?,Needs Analysis,1,1,1.0
"Do you have anything else, like, through an old employer or union as well?",Needs Analysis,1,1,1.0
What prescription are we talking about?,Needs Analysis,1,1,1.0
How is your hearing?,Needs Analysis,1,1,1.0
Can you please have a you.,Needs Analysis,1,1,1.0
Was there something specific that made you go that direction?,Needs Analysis,1,1,1.0
"Other than the dental and vision, what else is gonna be important for you?",Needs Analysis,1,1,1.0
Tell me a little bit about your actual coverage itself.,Needs Analysis,1,1,1.0
You said it's a methadone clinic?,Needs Analysis,1,1,1.0
Do you have quite a few different specialists that you see?,Needs Analysis,1,1,1.0
"Are you using it more on food, or do you use it to pay your bills?",Needs Analysis,1,1,1.0
Was there a reason why you lost it?,Needs Analysis,1,1,1.0
Did you happen to have let me make sure there's no others?,Needs Analysis,1,1,1.0
Do you mind me asking what it's for?,Needs Analysis,1,1,1.0
"What pharmacy I just wanna make sure, like, you use your network pharmacies?",Needs Analysis,1,1,1.0
What about dental work? Do you need any dental work done?,Needs Analysis,1,1,1.0
Are there any additional doctors you're seeing?,Needs Analysis,1,1,1.0
Any other doctors you need me to look up?,Needs Analysis,1,1,1.0
"Do you want to receive your plan materials through the email, or do you wanna get it printed and mailed to you?",Needs Analysis,1,1,1.0
"Are you in a UnitedHealthcare dual plan, or are you in an AARP plan?",Needs Analysis,1,1,1.0
"Have we discussed the benefits of the Humana Gold Plus, HMO, DS and P plan to your satisfaction?",Needs Analysis,1,1,1.0
Do you understand the benefits included in this plan?,Needs Analysis,1,1,1.0
Do you have any questions on your UnitedHealthcare coverage?,Needs Analysis,1,1,1.0
Tell me really quick what had you interested in checking out your options today.,Needs Analysis,1,1,1.0
Have you had the opportunity to get any dental services taken care of with your plan yet this year?,Needs Analysis,1,1,1.0
Do you have any other prescription drug coverage or medical insurance other than Medicare or Medicaid?,Needs Analysis,1,1,1.0
Are you needing any dental work?,Needs Analysis,1,1,1.0
What kind of drugs are you taking right now?,Needs Analysis,1,1,1.0
Does your pharmacy give you three months supply or just month to month?,Needs Analysis,1,1,1.0
Do you have any prescriptions that you currently take right now?,Needs Analysis,1,1,1.0
Are you currently a resident in a long term care facility or nursing home?,Needs Analysis,1,1,1.0
What made you want to go with that plan?,Needs Analysis,1,1,1.0
Do you get any assistance like that?,Needs Analysis,1,1,1.0
When do you plan to retire?,Needs Analysis,1,1,1.0
"Who is your primary care doctor, sir?",Needs Analysis,1,1,1.0
Have you had that for a long time?,Needs Analysis,1,1,1.0
"What about vision services? Like, do you wear glasses or contact lenses?",Needs Analysis,1,1,1.0
"Do you receive any benefit from, like, a employer or union?",Needs Analysis,1,1,1.0
Do you need rides sometimes to the doctor or the clinic or the hospital?,Needs Analysis,1,1,1.0
Do you get any type of help right now with groceries and utility bills?,Needs Analysis,1,1,1.0
Do you recall what chronic condition the plan was set up for?,Needs Analysis,1,1,1.0
Does you or your spouse have any coverage through a current or past employer?,Needs Analysis,1,1,1.0
Do you have both of those issues?,Needs Analysis,1,1,1.0
"How's your health, Sameer?",Needs Analysis,1,1,1.0
Do you have any extra help from the government to help pay for your medications?,Needs Analysis,1,1,1.0
How many prescription drugs are you taking right now?,Needs Analysis,1,1,1.0
Are they giving you money for groceries?,Needs Analysis,1,1,1.0
What are the drugs that are costing you money?,Needs Analysis,1,1,1.0
Is there any prescriptions that you're concerned about or may have had issues with in the past?,Needs Analysis,1,1,1.0
Do you have any questions on dental before we move to vision?,Needs Analysis,1,1,1.0
"Are you seeing a lot of doctors right now, miss Mohammed?",Needs Analysis,1,1,1.0
Do you need hearing aids or dental or anything?,Needs Analysis,1,1,1.0
Do you also have Medi Cal as well out there?,Needs Analysis,1,1,1.0
What are some of the main things that you like about that plan?,Needs Analysis,1,1,1.0
Do you have any questions on vision?,Needs Analysis,1,1,1.0
Is there anything else about the plan that maybe you like or wish was different?,Needs Analysis,1,1,1.0
Let me take a peek here.,Needs Analysis,1,1,1.0
Is there anything that you need or wish that your Medicare plan had?,Needs Analysis,1,1,1.0
Do you have any dental needs or anything like that?,Needs Analysis,1,1,1.0
Did you need any kind of major dental?,Needs Analysis,1,1,1.0
Do you have any Medicaid by any chance or just the Medicare?,Needs Analysis,1,1,1.0
Do you understand and agree with all the statements you've heard?,Needs Analysis,1,1,1.0
Tell me a little bit about your knee as far as health care goes.,Needs Analysis,1,1,1.0
So is that plan in effect now?,Needs Analysis,1,1,1.0
How's your hearing?,Needs Analysis,1,1,1.0
Is your plan working out okay for you?,Needs Analysis,1,1,1.0
"I was like, why are you in a PPO?",Needs Analysis,1,1,1.0
Is there anything else you're gonna need as well?,Needs Analysis,1,1,1.0
If there's any issues with the doctor.,Needs Analysis,1,1,1.0
"Have you recently lost, or are you losing employer coverage, union coverage, or COBRA coverage?",Needs Analysis,1,1,1.0
Do you receive any additional benefits from Aetna?,Needs Analysis,1,1,1.0
Does he need transportation as well?,Needs Analysis,1,1,1.0
How much grocery benefits that you said that you're getting?,Needs Analysis,1,1,1.0
"Is he needing, like, major dental work, or is he just needing, like, his cleanings done and x rays?",Needs Analysis,1,1,1.0
"What about the regular pay, for this for your regular doctor?",Needs Analysis,1,1,1.0
Do you want to get your dentures replaced?,Needs Analysis,1,1,1.0
Are there any hospitals that you would like to check on for network participation?,Needs Analysis,1,1,1.0
Do you anticipate getting some dental work done this year?,Needs Analysis,1,1,1.0
Is there anything with within his benefit that you can that he would possibly need an increase with?,Needs Analysis,1,1,1.0
What is the most important benefit for you?,Needs Analysis,1,1,1.0
"What did they tell you, ma'am?",Needs Analysis,1,1,1.0
"Do you have any particular, like, insurance company you want to use?",Needs Analysis,1,1,1.0
Do you need some dental coverage or no?,Needs Analysis,1,1,1.0
How you doing with your teeth and your vision?,Needs Analysis,1,1,1.0
Is there a primary care doctor that you would like me to check for network participation?,Needs Analysis,1,1,1.0
What made you choose a supplemental?,Needs Analysis,1,1,1.0
What is the name of your pharmacy?,Needs Analysis,1,1,1.0
"As far as, like, the dental, vision, hearing, is there any, any work that you're looking to get done?",Needs Analysis,1,1,1.0
Are there any benefits that you're not getting now?,Needs Analysis,1,1,1.0
"Do you happen to have any other type of, like, prescription coverage?",Needs Analysis,1,1,1.0
Are you needing any other benefits like dental or vision?,Needs Analysis,1,1,1.0
"Are you currently in a nursing home, assistant living, or long term care facility?",Needs Analysis,1,1,1.0
What else is important? Do you need any dental or anything?,Needs Analysis,1,1,1.0
"Who's your primary care doctor, ma'am?",Needs Analysis,1,1,1.0
Do you take advantage of the free rides you get with UnitedHealthcare?,Needs Analysis,1,1,1.0
Do you get Medicaid and extra help through the state?,Needs Analysis,1,1,1.0
Are you doing okay?,Needs Analysis,1,1,1.0
"Do you need, like, any dental work done coming up, or is vision very important?",Needs Analysis,1,1,1.0
"You see, do you have checkups and cleanings?",Needs Analysis,1,1,1.0
"Do you have any specialists that are important to you, ma'am?",Needs Analysis,1,1,1.0
Do you have any benefits with anybody?,Needs Analysis,1,1,1.0
Are you taking any prescription drugs right now?,Needs Analysis,1,1,1.0
Are you an insulin user per chance?,Needs Analysis,1,1,1.0
Do you get money for groceries and utility bills now with your plan?,Needs Analysis,1,1,1.0
Do you see her at four tenth or no?,Needs Analysis,1,1,1.0
How much money do you get a month for groceries?,Needs Analysis,1,1,1.0
What are the most important things just plan wise?,Needs Analysis,1,1,1.0
What was the main thing you signed up for WellCare for?,Needs Analysis,1,1,1.0
Do you have anything scheduled or upcoming just this year?,Needs Analysis,1,1,1.0
"Do you need, like, thousands of dollars of work on your teeth?",Needs Analysis,1,1,1.0
"If you had a magic wand on and you could change one thing about your Aetna plan, what would that be?",Needs Analysis,1,1,1.0
Are you paying anything at all for your medications?,Needs Analysis,1,1,1.0
Have you ever been diagnosed with diabetes?,Needs Analysis,1,1,1.0
Do you have any particular doctor you want to keep?,Needs Analysis,1,1,1.0
Will you have any other medical insurance other than Medicare?,Needs Analysis,1,1,1.0
Are you paying any premiums to have the insurance that you have?,Needs Analysis,1,1,1.0
"Did they tell you, like, what your benefits were?",Needs Analysis,1,1,1.0
"What is important? Like, is it medical cost?",Needs Analysis,1,1,1.0
"Do you get any medical benefits, like, from a current or past employer?",Needs Analysis,1,1,1.0
"Do you need, like, any dental work coming up too?",Needs Analysis,1,1,1.0
Is there anything else that you need?,Needs Analysis,1,1,1.0
"Do you need help with transportation, like, to back and forth to the doctor as well?",Needs Analysis,1,1,1.0
Do you know if you have any Medicaid?,Needs Analysis,1,1,1.0
How is your dental and your vision doing?,Needs Analysis,1,1,1.0
Did you see a change?,Needs Analysis,1,1,1.0
Do you have any plans to get any dental work done?,Needs Analysis,1,1,1.0
Do you receive any assistance from the state of New York?,Needs Analysis,1,1,1.0
Do you have any dental procedures coming up for 02/2025?,Needs Analysis,1,1,1.0
"Do you have any benefits from, like, TRICARE or the VA or anything?",Needs Analysis,1,1,1.0
What kind of dental coverage are you looking for specifically?,Needs Analysis,1,1,1.0
"Are they having do they have you at least in any type of therapy or something to, you know, heal up the right way?",Needs Analysis,1,1,1.0
"Do you have anything scheduled this year, like any surgeries or procedures?",Needs Analysis,1,1,1.0
What is the benefit you use the most?,Needs Analysis,1,1,1.0
Do you have a primary care doctor right now that you would like me to check for network participation?,Needs Analysis,1,1,1.0
What was your question?,Needs Analysis,1,1,1.0
"What type of benefits, miss Marley you what type of benefits that you're needing in a plan?",Needs Analysis,1,1,1.0
Do you have a primary care doctor that you've been seeing?,Needs Analysis,1,1,1.0
I do show that you have full Medicaid FVDE.,Needs Analysis,1,1,1.0
How much do you typically pay for your prescriptions right now?,Needs Analysis,1,1,1.0
Do you have one of those issues?,Needs Analysis,1,1,1.0
What type of dental work is that going to be?,Needs Analysis,1,1,1.0
Would it be okay for Mabry Advisors to call or text you?,Needs Analysis,1,1,1.0
What sort of things were you looking for?,Needs Analysis,1,1,1.0
How's that WellCare plan been treating you so far?,Needs Analysis,1,1,1.0
Are you seeing any doctors outside of the VA that you would like me to look up?,Needs Analysis,1,1,1.0
"Are there any other, like, specialists, dentists that we need to look up to make sure they'd be in network?",Needs Analysis,1,1,1.0
"Do you want to receive your plan materials, electronics to the email, or do you want to get it printed and mailed to you?",Needs Analysis,1,1,1.0
What all are you needing to get finished?,Needs Analysis,1,1,1.0
Do you have a primary care doctor that you want me to look up?,Needs Analysis,1,1,1.0
Do you use any of those benefits?,Needs Analysis,1,1,1.0
"Are there any other doctors, like specialists or dentists that I need to look up?",Needs Analysis,1,1,1.0
Can I fax that to you?,Needs Analysis,1,1,1.0
"What about, like, the other additional benefits?",Needs Analysis,1,1,1.0
"Are you getting any extra benefits with that, like food for groceries and dental and vision?",Needs Analysis,1,1,1.0
What about dental? What's gonna be important to you regarding dental?,Needs Analysis,1,1,1.0
are there any other concerns with your current coverage?,Needs Analysis,1,1,1.0
Do you see any dentists right now?,Needs Analysis,1,1,1.0
are you planning to get any type of dental work done this year?,Needs Analysis,1,1,1.0
how are things going with your current coverage?,Needs Analysis,1,1,1.0
How has it been working out for you for March?,Needs Analysis,1,1,1.0
Do you currently take any medications at this time?,Needs Analysis,1,1,1.0
Do you want me to take a look just to make sure?,Needs Analysis,1,1,1.0
Do you need to get some glasses?,Needs Analysis,1,1,1.0
Are you happy with that plan?,Needs Analysis,1,1,1.0
What is the name of that company?,Needs Analysis,1,1,1.0
How much do I have for dental?,Needs Analysis,1,1,1.0
What is it that you need?,Needs Analysis,1,1,1.0
How does Humana handle that?,Needs Analysis,1,1,1.0
Are there any benefits that you currently have with your Humana plan that you think would be more beneficial?,Needs Analysis,1,1,1.0
"Are you getting, like, assistance with, like, groceries?",Needs Analysis,1,1,1.0
What portion of the plan would they take?,Needs Analysis,1,1,1.0
How about we do this? I'll let you get to your appointment.,Needs Analysis,1,1,1.0
Do you need dental?,Needs Analysis,1,1,1.0
What are we looking for here?,Needs Analysis,1,1,1.0
Do you have a UCard?,Needs Analysis,1,1,1.0
Did you not get a card that you show the doctor?,Needs Analysis,1,1,1.0
"Do you get any coverage through, like do do you get coverage, like, through the VA, TRICARE, a union, or an employer?",Needs Analysis,1,1,1.0
Do you have any prescriptions that you're taking right now that you'd like me to look up?,Needs Analysis,1,1,1.0
"Do you need any dental, vision, hearing?",Needs Analysis,1,1,1.0
Do you know if you have any circulation issues?,Needs Analysis,1,1,1.0
Are there any specific benefits that you're thinking that you may need to use more of?,Needs Analysis,1,1,1.0
What's the benefit that are most important to you?,Needs Analysis,1,1,1.0
Do you receive any extra help?,Needs Analysis,1,1,1.0
What is important to you just specifically?,Needs Analysis,1,1,1.0
"Do you have any family doctor, specialist doctor, and dentist?",Needs Analysis,1,1,1.0
Do you have any prescriptions that you want me to look up for you?,Needs Analysis,1,1,1.0
Do you happen to have any insurance coverage through a current employer or past employer?,Needs Analysis,1,1,1.0
"Would you happen to be residing in a nursing home, assisted living facility, or a long term care facility?",Needs Analysis,1,1,1.0
Do you have any medications?,Needs Analysis,1,1,1.0
Are you getting any help with that through your plan?,Needs Analysis,1,1,1.0
Do you have a primary doctor that you really like?,Needs Analysis,1,1,1.0
"Do you have any military benefits like TRICARE For Life, CHAMPVA, or VA benefits?",Needs Analysis,1,1,1.0
What are just the most important things?,Needs Analysis,1,1,1.0
What did you have from September to now?,Needs Analysis,1,1,1.0
Tell me a little bit about what benefits are most important to you this year.,Needs Analysis,1,1,1.0
What's the one main thing you like about your WellCare plan right now?,Needs Analysis,1,1,1.0
Are you taking any medication?,Needs Analysis,1,1,1.0
Would it help you if there was a plan that gave you help with more food and groceries and utilities?,Needs Analysis,1,1,1.0
"Do you take a lot of medications, Russell?",Needs Analysis,1,1,1.0
"Any issues, like, with your heart or anything like that?",Needs Analysis,1,1,1.0
"How much are you currently receiving towards groceries, utility, and over the counter?",Needs Analysis,1,1,1.0
What is her primary care physician?,Needs Analysis,1,1,1.0
What benefits do you currently receive?,Needs Analysis,1,1,1.0
Can you see that address?,Needs Analysis,1,1,1.0
Do you have any other medical or prescription drug benefits other than Medicare?,Needs Analysis,1,1,1.0
Do you know how much your co pays are going to be for those specialists?,Needs Analysis,1,1,1.0
"If you need a hearing aid, if you have an advanced level hearing aid, it's $6.99 co pay.",Needs Analysis,1,1,1.0
Are you still having to see some specialists this year?,Needs Analysis,1,1,1.0
Do you happen to know if you have full Medicaid or partial Medicaid in the state?,Needs Analysis,1,1,1.0
Do you qualify for additional benefits since you are a Medicare Medicaid recipient?,Needs Analysis,1,1,1.0
Do you take any insulins or inhalers?,Needs Analysis,1,1,1.0
"If you need to go to an urgent care center in or out of network, you pay 45.",Needs Analysis,1,1,1.0
"Do you have, like, COPD or chronic bronchitis or asthma?",Needs Analysis,1,1,1.0
Are you taking any prescription medications currently?,Needs Analysis,1,1,1.0
Have you recently moved?,Needs Analysis,1,1,1.0
"Are you using any other benefits like dental, vision, hearing?",Needs Analysis,1,1,1.0
Do you have a grocery card already?,Needs Analysis,1,1,1.0
"Is there anything that you need, Cassandra?",Needs Analysis,1,1,1.0
Are you seeing any specialists too or no?,Needs Analysis,1,1,1.0
"Do you typically have to pay any co pays when you go into, like, specialist or anything like that?",Needs Analysis,1,1,1.0
Do you have any military benefits or VA?,Needs Analysis,1,1,1.0
"Do you have, like, any issues with, like, diabetes or any issues with your heart at all?",Needs Analysis,1,1,1.0
Do you currently have any over the counter benefits?,Needs Analysis,1,1,1.0
Do you currently have a primary care doctor that you see right now?,Needs Analysis,1,1,1.0
What can we're what we're gonna do here?,Needs Analysis,1,1,1.0
Are your prescriptions do you take any prescriptions?,Needs Analysis,1,1,1.0
What exactly are you wanting with your dental coverage?,Needs Analysis,1,1,1.0
Are you getting a food card with that plan right now?,Needs Analysis,1,1,1.0
Do you need any work done or any procedures done?,Needs Analysis,1,1,1.0
"Do you want, like, the over the counter items too?",Needs Analysis,1,1,1.0
Have you ever been told by a doctor or clinic that you have heart failure?,Needs Analysis,1,1,1.0
Do you use the dental benefits at all that you have?,Needs Analysis,1,1,1.0
What is your primary care doctor you're seeing?,Needs Analysis,1,1,1.0
"What is going on with that, there?",Needs Analysis,1,1,1.0
Are you part of the PACE program?,Needs Analysis,1,1,1.0
Are there any benefits you've heard about or seen that you would like to receive?,Needs Analysis,1,1,1.0
Have you tried to apply for any extra help or Medicaid?,Needs Analysis,1,1,1.0
"Are there any additional doctors that you're seeing, like a dentist or other specialists?",Needs Analysis,1,1,1.0
Do you want to receive your packet by mail or email?,Needs Analysis,1,1,1.0
Are you taking any prescription medication?,Needs Analysis,1,1,1.0
What benefit is important to you?,Needs Analysis,1,1,1.0
Is all that correct?,Needs Analysis,1,1,1.0
"Do you use it very often, or are there certain things that you really like or don't like?",Needs Analysis,1,1,1.0
Is there anything in the plan that you currently need?,Needs Analysis,1,1,1.0
Is there anything you like more about one than the other?,Needs Analysis,1,1,1.0
Is he happy with his plan?,Needs Analysis,1,1,1.0
How often would you say you said you went to the doctor quite a bit?,Needs Analysis,1,1,1.0
And you said you have been diagnosed with diabetes.,Needs Analysis,1,1,1.0
"Did you have, like, an episode or something with your heart?",Needs Analysis,1,1,1.0
Do you go to the doctor?,Needs Analysis,1,1,1.0
What was the last name of your doctor again real quick?,Needs Analysis,1,1,1.0
Will you be getting a routine eye exam or needing something more like glasses or contacts?,Needs Analysis,1,1,1.0
What's the one main benefit that you think would help you?,Needs Analysis,1,1,1.0
What kind of chronic condition do you have?,Needs Analysis,1,1,1.0
Do you need any medical work done?,Needs Analysis,1,1,1.0
Is transportation important to you?,Needs Analysis,1,1,1.0
Who is your primary care provider?,Needs Analysis,1,1,1.0
"Do you have, like, any chronic conditions?",Needs Analysis,1,1,1.0
What town is he in?,Needs Analysis,1,1,1.0
Will you have any other prescription drug coverage when this plan become effective?,Needs Analysis,1,1,1.0
Do you have any chronic special health needs that you're taking medication for?,Needs Analysis,1,1,1.0
What kind of dental coverage are you needing?,Needs Analysis,1,1,1.0
Do you need any kind of dental work? How are your teeth?,Needs Analysis,1,1,1.0
Do you have anyone who makes your decisions for you?,Needs Analysis,1,1,1.0
Is it important to you for dental?,Needs Analysis,1,1,1.0
Have you ever had any problem getting to any hospitals or doctors with that plan at all?,Needs Analysis,1,1,1.0
Do you need how important is dental to you?,Needs Analysis,1,1,1.0
Any change to that Medicaid recently?,Needs Analysis,1,1,1.0
Did you just recently change to UnitedHealthcare CompleteCare?,Needs Analysis,1,1,1.0
